=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 156: Swap (7,3) = 8 <=> (6,4) = 2 | Lỗi: 12 | Conflicts: 19 | Tổng: 4.7128s | Sigma: 19.8274
Bước 157: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 4.7403s | Sigma: 19.6292
Bước 158: Swap (2,6) = 3 <=> (0,8) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 4.7660s | Sigma: 19.4329
Bước 159: Swap (7,3) = 7 <=> (7,4) = 8 | Lỗi:  4 | Conflicts: 7 | Tổng: 4.7923s | Sigma: 19.2385
Bước 160: Swap (0,0) = 7 <=> (0,2) = 8 | Lỗi:  6 | Conflicts: 11 | Tổng: 4.8194s | Sigma: 19.0461
Bước 161: Swap (7,4) = 7 <=> (7,3) = 8 | Lỗi:  8 | Conflicts: 15 | Tổng: 4.8490s | Sigma: 18.8557
Bước 162: Swap (0,0) = 4 <=> (2,1) = 7 | Lỗi: 11 | Conflicts: 19 | Tổng: 4.8771s | Sigma: 18.6671
Bước 163: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 15 | Conflicts: 25 | Tổng: 4.9019s | Sigma: 18.4805
Bước 164: Swap (0,7) = 5 <=> (1,7) = 2 | Lỗi: 15 | Conflicts: 24 | Tổng: 4.9294s | Sigma: 18.2957
Bước 165: Swap (6,4) = 7 <=> (7,4) = 2 | Lỗi: 17 | Conflicts: 27 | Tổng: 4.9559s | Sigma: 18.1127
Bước 166: Swap (1,7) = 1 <=> (0,8) = 2 | Lỗi: 13 | Conflicts: 21 | Tổng: 4.9821s | Sigma: 17.9316
Bước 167: Swap (2,6) = 2 <=> (0,8) = 3 | Lỗi: 17 | Conflicts: 27 | Tổng: 5.0084s | Sigma: 17.7523
Bước 168: Swap (2,6) = 1 <=> (1,7) = 2 | Lỗi: 19 | Conflicts: 29 | Tổng: 5.0338s | Sigma: 17.5747
Bước 169: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 15 | Conflicts: 24 | Tổng: 5.0608s | Sigma: 17.3990
Bước 170: Swap (0,2) = 7 <=> (2,1) = 8 | Lỗi: 14 | Conflicts: 22 | Tổng: 5.0887s | Sigma: 17.2250
Bước 171: Swap (0,0) = 7 <=> (0,2) = 4 | Lỗi: 15 | Conflicts: 24 | Tổng: 5.1151s | Sigma: 17.0527
Bước 172: Swap (2,1) = 4 <=> (0,2) = 8 | Lỗi: 12 | Conflicts: 20 | Tổng: 5.1420s | Sigma: 16.8822
Bước 173: Swap (0,0) = 8 <=> (0,2) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 5.1683s | Sigma: 16.7134
Bước 174: Swap (6,4) = 2 <=> (7,4) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 5.1953s | Sigma: 16.5463
Bước 175: Swap (0,2) = 8 <=> (0,0) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 5.2234s | Sigma: 16.3808
Bước 176: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 14 | Conflicts: 22 | Tổng: 5.2692s | Sigma: 16.2170
Bước 177: Swap (7,4) = 2 <=> (6,4) = 7 | Lỗi: 16 | Conflicts: 25 | Tổng: 5.2949s | Sigma: 16.0548
Bước 178: Swap (1,7) = 3 <=> (0,8) = 2 | Lỗi: 14 | Conflicts: 22 | Tổng: 5.3210s | Sigma: 15.8943
Bước 179: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 10 | Conflicts: 17 | Tổng: 5.3489s | Sigma: 15.7353
Bước 180: Swap (0,2) = 7 <=> (0,0) = 8 | Lỗi:  8 | Conflicts: 13 | Tổng: 5.3791s | Sigma: 15.5780
Bước 181: Swap (6,4) = 8 <=> (7,3) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 5.4090s | Sigma: 15.4222
Bước 182: Swap (2,1) = 7 <=> (0,2) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 5.4358s | Sigma: 15.2680
